bfm_landmark_name,bfm_vertex_id,mediapipe_index
center.chin.tip,15867,152
center.front.trichion,15851,10
center.lips.lower.inner,15819,14
center.lips.lower.outer,15821,17
center.lips.upper.inner,15825,13
center.lips.upper.outer,15855,0
center.nose.attachement_to_philtrum,15837,2
center.nose.tip,15841,1
left.eye.bottom,338,374
left.eye.corner_inner,2029,362
left.eye.corner_outer,2039,263
left.eye.pupil.center,2043,473
left.eye.top,2032,386
left.eyebrow.bend.lower,236,282
left.eyebrow.bend.upper,1763,295
left.eyebrow.inner_lower,241,285
left.eyebrow.inner_upper,9,336
left.lips.corner,1723,291
left.lips.philtrum_ridge,1935,267
left.nasolabial_fold.bottom,2127,432
left.nasolabial_fold.center,2115,429
left.nose.hole.center,182,326
left.nose.wing.outer,1966,327
left.nose.wing.tip,255,294
right.eye.bottom,14042,145
right.eye.corner_inner,15733,133
