mediapipe_index,name,mp_u,mp_v,bfm_vertex,bfm_X,bfm_Y,bfm_Z
0,center.lips.upper.outer,394.1774363,500.5392694,15855,0.0354753,-27.7133,113.576
2,center.nose.attachment_to_philtrum,396.9496602,459.7615879,15837,0.187376,-11.0558,116.487
4,center.nose.tip,399.1232892,437.9824955,15841,0.113292,1.00645,131.098
10,center.front.trichion,405.8902692,240.1239141,15851,-0.516243,83.9574,103.767
13,center.lips.upper.inner,393.6287786,507.4032937,15825,0.565818,-33.144,107.009
14,center.lips.lower.inner,393.8834592,509.3804727,15819,0.748489,-32.2204,106.915
17,center.lips.lower.outer,393.2594755,527.0173416,15821,0.967198,-41.2285,111.263
33,left.eye.corner_outer,304.8124638,348.0383524,15743,-43.3357,33.3399,86.3575
37,left.lips.philtrum_ridge,378.556001,496.5398895,15639,-6.94076,-25.6022,113.16
48,left.nose.wing.tip,356.7599269,438.7153115,13959,-14.8858,-9.36252,105.325
55,left.eyebrow.bend.lower,374.2751085,326.5626558,13940,-48.12,47.7917,93.8913
61,left.lips.corner,337.0227191,499.304698,15427,-28.403,-34.7498,95.8875
97,left.nose.hole.center,377.2087188,456.8969436,13886,-8.28161,-9.31959,110.4
105,left.eyebrow.bend.upper,305.9843351,300.8976992,15467,-44.988,55.771,95.3988
107,left.eyebrow.inner_upper,370.0134909,307.7418126,13713,-21.4659,53.8764,107.087
129,left.nose.wing.outer,352.8241623,435.6122983,15670,-17.9749,-4.47236,101.809
133,left.eye.corner_inner,363.1426225,353.7731223,15733,-19.6818,32.7508,90.4719
145,left.eye.bottom,331.0834394,356.6314888,14042,-32.8722,28.9683,92.5729
152,center.chin.tip,389.3147501,608.2620006,15867,0.289763,-74.474,102.122
159,left.eye.top,327.596551,338.7559229,15736,-32.0927,33.0513,93.8824
206,left.nasolabial_fold.center,325.8984472,459.4245543,15880,-31.9905,-20.9695,97.9322
216,left.nasolabial_fold.bottom,313.4197057,476.3630884,15893,-36.6383,-35.4732,92.6191
224,left.eyebrow.inner_lower,301.1685294,323.4306428,13945,-19.6794,46.8856,104.062
263,right.eye.corner_outer,491.0259667,354.4218907,2039,43.6259,33.431,86.0227
267,right.lips.philtrum_ridge,409.7302194,497.9571261,1935,6.83664,-25.5924,113.202
278,right.nose.wing.tip,437.2691841,441.8091424,255,15.0637,-8.87494,105.188
285,right.eyebrow.inner_lower,429.3165416,329.9665818,241,19.7511,47.48,104.098
291,right.lips.corner,447.8197364,504.7077284,1723,29.1574,-34.3589,95.3833
326,right.nose.hole.center,416.0941068,458.5717106,182,8.68536,-9.53773,110.371
334,right.eyebrow.bend.upper,496.5852091,311.4426692,1763,44.612,56.3444,95.1578
336,right.eyebrow.inner_upper,435.8375217,312.2397623,9,21.1843,54.406,107.048
358,right.nose.wing.outer,439.5632227,438.8181925,1966,17.9699,-3.74124,101.587
362,right.eye.corner_inner,433.728578,356.4168958,2029,19.7237,32.9292,90.4435
374,right.eye.bottom,464.9090969,361.1503333,338,33.3914,28.8361,92.4488
386,right.eye.top,469.9802132,344.1547135,2032,32.6998,33.1354,93.8102
426,right.nasolabial_fold.center,463.5384328,464.4641283,2115,31.6094,-19.7343,98.0314
436,right.nasolabial_fold.bottom,473.109186,482.4258968,2127,36.7005,-35.3529,92.6727
444,right.eyebrow.bend.lower,498.1722373,332.6947308,236,47.909,48.6779,93.5588
468,left.eye.pupil.center,329.589402,346.7389416,15747,-31.6484,37.1951,94.2417
473,right.eye.pupil.center,465.5226265,351.4903926,2043,32.2829,37.5438,94.233
