name,mediapipe_index,bfm_vertex_id,observed_x_norm,observed_y_norm,projected_x_norm,projected_y_norm,error_norm
center.lips.upper.outer,0,15855,0.4990687668,0.639043808,0.5034635707,0.6349348999,0.006016429741
center.nose.attachment_to_philtrum,2,15837,0.5082537532,0.5931773782,0.5067128734,0.5943294044,0.001923921754
center.nose.tip,4,15841,0.5118518472,0.5628424883,0.5104144178,0.5670291395,0.004426539465
center.front.trichion,10,15851,0.5186337829,0.2944470942,0.517164543,0.2985211898,0.004330926084
center.lips.upper.inner,13,15825,0.4995553792,0.6485792994,0.5032785485,0.6432656627,0.006488198994
center.lips.lower.inner,14,15819,0.4992641211,0.6490039229,0.5026831738,0.6537469339,0.005846885909
center.lips.lower.outer,17,15821,0.4986738563,0.6703118682,0.5006859135,0.6789560811,0.008875291081
left.eye.corner_outer,33,15743,0.3858518898,0.4421883523,0.3884207733,0.4398063994,0.003503264453
left.lips.philtrum_ridge,37,15639,0.4790790975,0.6343925595,0.4869440087,0.6292113796,0.009418144882
left.nose.wing.tip,48,13959,0.4536080062,0.5636457205,0.456344082,0.5735791582,0.01030336332
left.eyebrow.bend.lower,53,13940,0.3755708337,0.4017437696,0.3755201825,0.4014598103,0.0002884413833
left.lips.corner,61,15427,0.4315400422,0.6368439794,0.4181014371,0.6284012845,0.01587057663
left.nose.hole.center,97,13886,0.4848810136,0.5894625187,0.4769985935,0.5799234553,0.01237442023
left.eyebrow.bend.upper,105,15467,0.3941067457,0.3824003935,0.3861510448,0.3801838759,0.00825870012
left.eyebrow.inner_upper,107,13713,0.4736433029,0.3898148835,0.4571576309,0.3889860945,0.01650649188
left.nose.wing.outer,129,15670,0.4474691749,0.5569219589,0.4506814969,0.5546661266,0.003925276096
left.eye.corner_inner,133,15733,0.4631018639,0.4495569468,0.4567219978,0.4491454895,0.006393120352
left.eye.bottom,145,14042,0.4233457148,0.4543791115,0.4176166406,0.4539373563,0.005746080276
center.chin.tip,152,15867,0.4980401099,0.7696576118,0.4963472471,0.7662209975,0.003830940155
left.eye.top,159,15736,0.4173589945,0.4327970743,0.4215860882,0.4437422539,0.01173308469
left.nasolabial_fold.center,206,15880,0.4143741429,0.5872731209,0.4090680242,0.5957744062,0.0100213147
left.nasolabial_fold.bottom,216,15893,0.3984009624,0.6081346869,0.3941823552,0.6274060334,0.01972768207
left.eyebrow.inner_lower,55,13945,0.4789161384,0.4131981134,0.4615468589,0.4106883856,0.01754966106
right.eye.corner_outer,263,2039,0.6324592233,0.448656559,0.6280073808,0.4503621746,0.004767391911
right.lips.philtrum_ridge,267,1935,0.5197857022,0.6361852288,0.5203874665,0.6308529015,0.005366175076
right.nose.wing.tip,278,255,0.5641868114,0.5685114861,0.5539317148,0.5782270055,0.01412651144
right.eyebrow.inner_lower,285,241,0.5474706292,0.4204909801,0.5656770919,0.4141001654,0.01929553825
right.lips.corner,291,1723,0.5728285909,0.6438126564,0.5834062338,0.6331353643,0.01502967385
right.nose.hole.center,326,182,0.5313236117,0.5916963816,0.5341028472,0.5853778522,0.006902750365
right.eyebrow.bend.upper,334,1763,0.6302860379,0.3936612904,0.6382636587,0.3910281829,0.008400933822
right.eyebrow.inner_upper,336,9,0.5545217395,0.397590965,0.5717886451,0.3933210907,0.01778701372
right.nose.wing.outer,358,1966,0.5676776767,0.5623241663,0.5609175359,0.5576773845,0.008203175275
right.eye.corner_inner,362,2029,0.5565859675,0.452480346,0.5634999634,0.4520560089,0.006927005137
right.eye.bottom,374,338,0.5957426429,0.4580625594,0.6002779429,0.4617497668,0.005845035947
right.eye.top,386,2032,0.6025975347,0.4362767637,0.5980545247,0.4512320663,0.01563009967
right.nasolabial_fold.center,426,2115,0.595723927,0.5947995186,0.5977601342,0.6024815323,0.007947293561
right.nasolabial_fold.bottom,436,2127,0.6083371639,0.6168906689,0.6073487753,0.6367319661,0.01986590012
right.eyebrow.bend.lower,283,236,0.6469725966,0.4135400057,0.6467614325,0.4117469637,0.001805433425
left.eye.pupil.center,468,15747,0.4210643768,0.4412424266,0.4241843566,0.4336895226,0.008171941782
right.eye.pupil.center,473,2043,0.594755888,0.4457785487,0.5971614886,0.4409668511,0.005379530454
contour_234,234,15593,0.2976752818,0.4749070406,0.3112076436,0.4747654393,0.01353310271
contour_93,93,17456,0.3003284633,0.5180779696,0.313892472,0.5187311095,0.01357972471
contour_132,132,17928,0.3066661358,0.5646858811,0.3178310266,0.5659746796,0.0112390297
contour_58,58,15989,0.3187488317,0.6136494875,0.3240682721,0.6130909909,0.005348678733
contour_172,172,16415,0.3371041715,0.6544135213,0.3392922799,0.6542727756,0.00219263028
contour_136,136,18403,0.358666718,0.6861732006,0.3617804,0.6889598528,0.004178569869
contour_150,150,18215,0.3857090771,0.7148749828,0.388432803,0.7178944212,0.004066410018
contour_149,149,21562,0.4089221656,0.7351303697,0.408930657,0.7368998841,0.00176953483
contour_176,176,21545,0.4335318506,0.7528159022,0.431758948,0.7543322139,0.002332891836
contour_148,148,21559,0.4618262351,0.7649599314,0.4588928054,0.7674136977,0.00382439261
contour_152,152,4081,0.4980401099,0.7696576118,0.5015195312,0.7743771264,0.005863462376
contour_377,377,7607,0.5331073403,0.7670052648,0.5301727591,0.7696539396,0.003953131102
contour_400,400,7593,0.5600396991,0.7565096617,0.5568046596,0.7578872643,0.003516144127
contour_378,378,7610,0.5831485987,0.7405898571,0.5793216088,0.7419048854,0.00404662213
contour_379,379,840,0.6055253744,0.7224440575,0.6047318816,0.7198280281,0.002733722794
contour_365,365,4493,0.6317301393,0.6968454123,0.6267809115,0.697525565,0.004995744472
contour_397,397,4350,0.6527858973,0.6679343581,0.6487521153,0.6699840578,0.004524673018
contour_288,288,3474,0.6713288426,0.6294218302,0.6690549678,0.6309874142,0.00276071731
contour_361,361,4065,0.6852554083,0.5817680359,0.6802935366,0.5819568512,0.004965462905
contour_323,323,3615,0.6936122179,0.535967052,0.6867670444,0.5366126882,0.006875554311
contour_454,454,1889,0.6986942887,0.4932285249,0.6935287151,0.4931612031,0.005166012261
