name,mediapipe_index,bfm_vertex_id,observed_x_norm,observed_y_norm,projected_x_norm,projected_y_norm,error_norm
center.lips.upper.outer,0,15855,0.4990687668,0.639043808,0.5032810584,0.6341260175,0.006475188272
center.nose.attachment_to_philtrum,2,15837,0.5082537532,0.5931773782,0.5066701445,0.5933791558,0.001596411778
center.nose.tip,4,15841,0.5118518472,0.5628424883,0.5104218006,0.5682583337,0.005601465398
center.front.trichion,10,15851,0.5186337829,0.2944470942,0.5167839309,0.3057320913,0.01143560723
center.lips.upper.inner,13,15825,0.4995553792,0.6485792994,0.5030752701,0.6425457076,0.006985260398
center.lips.lower.inner,14,15819,0.4992641211,0.6490039229,0.5023868352,0.6524263207,0.004632941776
center.lips.lower.outer,17,15821,0.4986738563,0.6703118682,0.5004980846,0.677542071,0.007456784911
left.eye.corner_outer,33,15743,0.3858518898,0.4421883523,0.3882560447,0.437854768,0.004955795969
left.lips.philtrum_ridge,37,15639,0.4790790975,0.6343925595,0.4871333003,0.6282136617,0.01015130339
left.nose.wing.tip,48,13959,0.4536080062,0.5636457205,0.4577244051,0.5730415477,0.01025798754
left.eyebrow.bend.lower,53,13940,0.3755708337,0.4017437696,0.3777458799,0.4018162126,0.002176252243
left.lips.corner,61,15427,0.4315400422,0.6368439794,0.4191320194,0.6270034567,0.01583650572
left.nose.hole.center,97,13886,0.4848810136,0.5894625187,0.4778979675,0.5793773269,0.01226678551
left.eyebrow.bend.upper,105,15467,0.3941067457,0.3824003935,0.3884839863,0.38139796,0.005711418112
left.eyebrow.inner_upper,107,13713,0.4736433029,0.3898148835,0.4591196004,0.3926427639,0.01479644698
left.nose.wing.outer,129,15670,0.4474691749,0.5569219589,0.452410429,0.5544673289,0.00551735448
left.eye.corner_inner,133,15733,0.4631018639,0.4495569468,0.4565500856,0.4472188093,0.006956485121
left.eye.bottom,145,14042,0.4233457148,0.4543791115,0.4183672609,0.4539860051,0.004993949979
center.chin.tip,152,15867,0.4980401099,0.7696576118,0.4953707628,0.7627517619,0.007403794771
left.eye.top,159,15736,0.4173589945,0.4327970743,0.4222671162,0.4446363553,0.01281632681
left.nasolabial_fold.center,206,15880,0.4143741429,0.5872731209,0.4110673188,0.5946257212,0.008061998322
left.nasolabial_fold.bottom,216,15893,0.3984009624,0.6081346869,0.3961896658,0.6252749791,0.01728234497
left.eyebrow.inner_lower,55,13945,0.4789161384,0.4131981134,0.4628067816,0.4128167462,0.01611387038
right.eye.corner_outer,263,2039,0.6324592233,0.448656559,0.628602905,0.4476397614,0.003988115882
right.lips.philtrum_ridge,267,1935,0.5197857022,0.6361852288,0.519838296,0.6297387666,0.00644667672
right.nose.wing.tip,278,255,0.5641868114,0.5685114861,0.5524043901,0.5774737154,0.0148036147
right.eyebrow.inner_lower,285,241,0.5474706292,0.4204909801,0.5637672986,0.4157984004,0.01695882475
right.lips.corner,291,1723,0.5728285909,0.6438126564,0.5820989386,0.6322701318,0.01480436489
right.nose.hole.center,326,182,0.5313236117,0.5916963816,0.5331745632,0.5844683226,0.007461290642
right.eyebrow.bend.upper,334,1763,0.6302860379,0.3936612904,0.6363625805,0.3907791573,0.006725404095
right.eyebrow.inner_upper,336,9,0.5545217395,0.397590965,0.5690239275,0.3963597209,0.01455436085
right.nose.wing.outer,358,1966,0.5676776767,0.5623241663,0.5590881233,0.5571975818,0.01000311426
right.eye.corner_inner,362,2029,0.5565859675,0.452480346,0.5634139039,0.4500487259,0.007247999143
right.eye.bottom,374,338,0.5957426429,0.4580625594,0.5996221058,0.4612428132,0.005016397818
right.eye.top,386,2032,0.6025975347,0.4362767637,0.5973781151,0.4514501926,0.01604603642
right.nasolabial_fold.center,426,2115,0.595723927,0.5947995186,0.5954705437,0.6014253187,0.00663064331
right.nasolabial_fold.bottom,436,2127,0.6083371639,0.6168906689,0.6052895298,0.6352909133,0.01865092677
right.eyebrow.bend.lower,283,236,0.6469725966,0.4135400057,0.6451375204,0.4107472838,0.003341676301
