name,mediapipe_index,bfm_vertex_id,observed_x_norm,observed_y_norm,projected_x_norm,projected_y_norm,error_norm
center.lips.upper.outer,0,15855,0.4990687668,0.639043808,0.5044788935,0.6278217053,0.01245813223
center.nose.attachment_to_philtrum,2,15837,0.5082537532,0.5931773782,0.5063705202,0.5892235582,0.004379413064
center.nose.tip,4,15841,0.5118518472,0.5628424883,0.5105716655,0.565327699,0.002795556692
center.front.trichion,10,15851,0.5186337829,0.2944470942,0.5169823275,0.3145839899,0.02020450128
center.lips.upper.inner,13,15825,0.4995553792,0.6485792994,0.5042929777,0.637144117,0.01237773157
center.lips.lower.inner,14,15819,0.4992641211,0.6490039229,0.5033238448,0.6512219676,0.004626130019
center.lips.lower.outer,17,15821,0.4986738563,0.6703118682,0.501160968,0.6763980921,0.006574788681
left.eye.corner_outer,33,15743,0.3858518898,0.4421883523,0.3855527442,0.4398779272,0.002329710771
left.lips.philtrum_ridge,37,15639,0.4790790975,0.6343925595,0.4876152124,0.6222149479,0.01487143175
left.nose.wing.tip,48,13959,0.4536080062,0.5636457205,0.457774452,0.5702672296,0.007823276439
left.eyebrow.bend.lower,53,13940,0.3755708337,0.4017437696,0.3742698369,0.4031076682,0.001884890394
left.lips.corner,61,15427,0.4315400422,0.6368439794,0.415743118,0.6297751167,0.01730640435
left.nose.hole.center,97,13886,0.4848810136,0.5894625187,0.4781231955,0.5754629855,0.01554525769
left.eyebrow.bend.upper,105,15467,0.3941067457,0.3824003935,0.3846772545,0.3837472011,0.009525187396
left.eyebrow.inner_upper,107,13713,0.4736433029,0.3898148835,0.4528576608,0.398115318,0.0223816919
left.nose.wing.outer,129,15670,0.4474691749,0.5569219589,0.4524455195,0.5520497265,0.006964384715
left.eye.corner_inner,133,15733,0.4631018639,0.4495569468,0.4498970926,0.446802021,0.01348909193
left.eye.bottom,145,14042,0.4233457148,0.4543791115,0.4136280764,0.4558874482,0.009834001043
center.chin.tip,152,15867,0.4980401099,0.7696576118,0.4950404309,0.7585817334,0.0114748925
left.eye.top,159,15736,0.4173589945,0.4327970743,0.4172463465,0.4463052592,0.01350865452
left.nasolabial_fold.center,206,15880,0.4143741429,0.5872731209,0.4088187718,0.596380321,0.01066786025
left.nasolabial_fold.bottom,216,15893,0.3984009624,0.6081346869,0.3938310226,0.6304279925,0.0227568851
left.eyebrow.inner_lower,55,13945,0.4789161384,0.4131981134,0.4565184168,0.415519832,0.02251773322
right.eye.corner_outer,263,2039,0.6324592233,0.448656559,0.6316613291,0.4501128652,0.001660561012
right.lips.philtrum_ridge,267,1935,0.5197857022,0.6361852288,0.5211407536,0.6235091614,0.01274828808
right.nose.wing.tip,278,255,0.5641868114,0.5685114861,0.5516263856,0.5742006746,0.01378880577
right.eyebrow.inner_lower,285,241,0.5474706292,0.4204909801,0.5699733688,0.4190163032,0.02255100795
right.lips.corner,291,1723,0.5728285909,0.6438126564,0.5846754133,0.6350682271,0.0147245457
right.nose.hole.center,326,182,0.5313236117,0.5916963816,0.5328667065,0.5799510536,0.01184625978
right.eyebrow.bend.upper,334,1763,0.6302860379,0.3936612904,0.6400315256,0.3934328474,0.009748164725
right.eyebrow.inner_upper,336,9,0.5545217395,0.397590965,0.5748634317,0.4026155229,0.02095305763
right.nose.wing.outer,358,1966,0.5676776767,0.5623241663,0.5580680682,0.554369036,0.01247512216
right.eye.corner_inner,362,2029,0.5565859675,0.452480346,0.5702952179,0.4508124805,0.01381033385
right.eye.bottom,374,338,0.5957426429,0.4580625594,0.6045249907,0.464030919,0.01061842506
right.eye.top,386,2032,0.6025975347,0.4362767637,0.6026154657,0.4539900889,0.01771333431
right.nasolabial_fold.center,426,2115,0.595723927,0.5947995186,0.5962364086,0.6023625066,0.007580331438
right.nasolabial_fold.bottom,436,2127,0.6083371639,0.6168906689,0.6061122465,0.640170203,0.02338561457
right.eyebrow.bend.lower,283,236,0.6469725966,0.4135400057,0.6487601796,0.4130498394,0.001853568394
left.eye.pupil.center,468,15747,0.4210643768,0.4412424266,0.419505336,0.435611548,0.005842722178
right.eye.pupil.center,473,2043,0.594755888,0.4457785487,0.6018127587,0.4433766187,0.007454441129
contour_234,234,14670,0.2976752818,0.4749070406,0.3024856894,0.4735397505,0.005000950306
contour_93,93,15595,0.3003284633,0.5180779696,0.3079701383,0.5161199996,0.007888526023
contour_132,132,16269,0.3066661358,0.5646858811,0.3143202672,0.5662599685,0.007814312464
contour_58,58,17305,0.3187488317,0.6136494875,0.3224348292,0.6150375577,0.003938694698
contour_172,172,16415,0.3371041715,0.6544135213,0.3359034724,0.652212477,0.002507244411
contour_136,136,18403,0.358666718,0.6861732006,0.3585780454,0.6896269551,0.003454892638
contour_150,150,18215,0.3857090771,0.7148749828,0.3864404354,0.7193087939,0.004493725109
contour_149,149,21562,0.4089221656,0.7351303697,0.4081499756,0.7372757977,0.002280162096
contour_176,176,21545,0.4335318506,0.7528159022,0.4314252726,0.7537456254,0.002302619386
contour_148,148,13881,0.4618262351,0.7649599314,0.4643124438,0.7668608138,0.00312963065
contour_152,152,4081,0.4980401099,0.7696576118,0.4979641309,0.7707613845,0.001106384579
contour_377,377,2529,0.5331073403,0.7670052648,0.5315051377,0.765772003,0.002021877255
contour_400,400,2519,0.5600396991,0.7565096617,0.5569169665,0.7549194734,0.003504305548
contour_378,378,797,0.5831485987,0.7405898571,0.579442229,0.7397879782,0.003792121532
contour_379,379,4318,0.6055253744,0.7224440575,0.6059828719,0.7189738269,0.003500257732
contour_365,365,174,0.6317301393,0.6968454123,0.6285826144,0.6954385975,0.00344761375
contour_397,397,2586,0.6527858973,0.6679343581,0.6508694888,0.6650752382,0.003441974403
contour_288,288,3474,0.6713288426,0.6294218302,0.6688233443,0.6296302033,0.002514148206
contour_361,361,2440,0.6852554083,0.5817680359,0.6810756163,0.5828263727,0.004311697783
contour_323,323,1891,0.6936122179,0.535967052,0.6902890942,0.5342880821,0.003723182974
contour_454,454,966,0.6986942887,0.4932285249,0.6998380092,0.4917697803,0.001853653794
