name,mediapipe_index,bfm_vertex_id,observed_x_norm,observed_y_norm,projected_x_norm,projected_y_norm,error_norm
center.lips.upper.outer,0,15855,0.4990687668,0.639043808,0.5035821741,0.6340242597,0.006750311902
center.nose.attachment_to_philtrum,2,15837,0.5082537532,0.5931773782,0.5064392649,0.5935404952,0.001850465303
center.nose.tip,4,15841,0.5118518472,0.5628424883,0.5103364461,0.5685391029,0.005894731376
center.front.trichion,10,15851,0.5186337829,0.2944470942,0.5163906735,0.3077327904,0.01347372491
center.lips.upper.inner,13,15825,0.4995553792,0.6485792994,0.5034027192,0.6424866524,0.007205718084
center.lips.lower.inner,14,15819,0.4992641211,0.6490039229,0.5027814506,0.6523509159,0.004855303198
center.lips.lower.outer,17,15821,0.4986738563,0.6703118682,0.5008247178,0.6776132671,0.007611611652
left.eye.corner_outer,33,15743,0.3858518898,0.4421883523,0.3885470348,0.4378124594,0.005139284552
left.lips.philtrum_ridge,37,15639,0.4790790975,0.6343925595,0.4876027768,0.6281569055,0.01056108373
left.nose.wing.tip,48,13959,0.4536080062,0.5636457205,0.457735058,0.5729582471,0.01018605463
left.eyebrow.bend.lower,53,13940,0.3755708337,0.4017437696,0.377435542,0.401918796,0.001872904546
left.lips.corner,61,15427,0.4315400422,0.6368439794,0.4194332395,0.6274723892,0.01531017219
left.nose.hole.center,97,13886,0.4848810136,0.5894625187,0.4779156978,0.57946756,0.01218256229
left.eyebrow.bend.upper,105,15467,0.3941067457,0.3824003935,0.387912726,0.3808801442,0.006377855319
left.eyebrow.inner_upper,107,13713,0.4736433029,0.3898148835,0.457919022,0.3932898535,0.0161036774
left.nose.wing.outer,129,15670,0.4474691749,0.5569219589,0.4521918626,0.5542874819,0.005407795141
left.eye.corner_inner,133,15733,0.4631018639,0.4495569468,0.4565078848,0.4472944933,0.006971316597
left.eye.bottom,145,14042,0.4233457148,0.4543791115,0.4186040032,0.4544191234,0.004741880394
center.chin.tip,152,15867,0.4980401099,0.7696576118,0.4954375556,0.7623016699,0.007802766895
left.eye.top,159,15736,0.4173589945,0.4327970743,0.4225013515,0.445138995,0.0133703718
left.nasolabial_fold.center,206,15880,0.4143741429,0.5872731209,0.4110293039,0.5948592622,0.008290807413
left.nasolabial_fold.bottom,216,15893,0.3984009624,0.6081346869,0.3961593932,0.6261271101,0.01813151736
left.eyebrow.inner_lower,55,13945,0.4789161384,0.4131981134,0.4618780249,0.4131693036,0.01703813787
right.eye.corner_outer,263,2039,0.6324592233,0.448656559,0.6281913252,0.4475919235,0.004398681966
right.lips.philtrum_ridge,267,1935,0.5197857022,0.6361852288,0.5197712012,0.6295192017,0.006666042856
right.nose.wing.tip,278,255,0.5641868114,0.5685114861,0.5518198707,0.5770867423,0.01504912763
right.eyebrow.inner_lower,285,241,0.5474706292,0.4204909801,0.5645823527,0.4158671221,0.01772543778
right.lips.corner,291,1723,0.5728285909,0.6438126564,0.582277041,0.6325159888,0.01472711473
right.nose.hole.center,326,182,0.5313236117,0.5916963816,0.5326691496,0.5842704149,0.007546883676
right.eyebrow.bend.upper,334,1763,0.6302860379,0.3936612904,0.6366755788,0.3898691055,0.007430134494
right.eyebrow.inner_upper,336,9,0.5545217395,0.397590965,0.5699831291,0.3966647026,0.01548911009
right.nose.wing.outer,358,1966,0.5676776767,0.5623241663,0.5586475736,0.5567480254,0.01061301601
right.eye.corner_inner,362,2029,0.5565859675,0.452480346,0.5633816609,0.4499318874,0.007257829471
right.eye.bottom,374,338,0.5957426429,0.4580625594,0.5994953031,0.4614842074,0.005078398775
right.eye.top,386,2032,0.6025975347,0.4362767637,0.5973072325,0.4517955075,0.01639569166
right.nasolabial_fold.center,426,2115,0.595723927,0.5947995186,0.5953249525,0.6013432613,0.006555894275
right.nasolabial_fold.bottom,436,2127,0.6083371639,0.6168906689,0.6057032521,0.6357843062,0.01907634719
right.eyebrow.bend.lower,283,236,0.6469725966,0.4135400057,0.6453073438,0.4105353179,0.003435289745
left.eye.pupil.center,468,15747,0.4210643768,0.4412424266,0.4248530599,0.4348397603,0.007439640797
right.eye.pupil.center,473,2043,0.594755888,0.4457785487,0.5965465938,0.4414351036,0.004698099915
contour_234,234,21890,0.2976752818,0.4749070406,0.3029177528,0.4729187347,0.005606858509
contour_93,93,20946,0.3003284633,0.5180779696,0.3085882209,0.5168453221,0.008351228325
contour_132,132,16269,0.3066661358,0.5646858811,0.3132183334,0.5628808987,0.006796267703
contour_58,58,17305,0.3187488317,0.6136494875,0.3204384557,0.6124947799,0.002046503983
contour_172,172,18246,0.3371041715,0.6544135213,0.3369297881,0.6556909667,0.001289292999
contour_136,136,18403,0.358666718,0.6861732006,0.3575069813,0.6869976803,0.001422939187
contour_150,150,18215,0.3857090771,0.7148749828,0.3857279844,0.7172646529,0.002389744901
contour_149,149,21562,0.4089221656,0.7351303697,0.4071878444,0.7365765004,0.002258132897
contour_176,176,21545,0.4335318506,0.7528159022,0.4303469785,0.7542500122,0.003492861512
contour_148,148,21559,0.4618262351,0.7649599314,0.4572009944,0.7668943189,0.005013452531
contour_152,152,4081,0.4980401099,0.7696576118,0.4992485184,0.7731768622,0.003720937268
contour_377,377,2529,0.5331073403,0.7670052648,0.534422138,0.7670800324,0.001316921821
contour_400,400,2519,0.5600396991,0.7565096617,0.560534882,0.7545517865,0.002019525047
contour_378,378,797,0.5831485987,0.7405898571,0.5830309857,0.738225855,0.002366926011
contour_379,379,840,0.6055253744,0.7224440575,0.6045697098,0.72012785,0.002505616085
contour_365,365,4493,0.6317301393,0.6968454123,0.6282452191,0.6966055484,0.003493165159
contour_397,397,4350,0.6527858973,0.6679343581,0.6518003623,0.6672803953,0.001182770702
contour_288,288,201,0.6713288426,0.6294218302,0.6711139701,0.6310744495,0.001666529565
contour_361,361,4064,0.6852554083,0.5817680359,0.6833302337,0.5840760435,0.003005527616
contour_323,323,6994,0.6936122179,0.535967052,0.6908193251,0.5344670223,0.003170226962
contour_454,454,1888,0.6986942887,0.4932285249,0.6996959302,0.4948106807,0.001872565779
