# index	name	x_px	y_px	z_norm	x_norm	y_norm
0	upper_lip_outer_center	301.563120	207.555885	-0.026339	0.502605	0.540510
1	nose_tip	299.737769	186.374290	-0.061725	0.499563	0.485350
2	nose_base_center	299.981636	192.162552	-0.029667	0.499969	0.500423
3		293.800360	161.517906	-0.050667	0.489667	0.420620
4	nose_bottom	299.660397	179.068211	-0.066950	0.499434	0.466323
5		299.612635	168.984329	-0.064067	0.499354	0.440063
6		299.667799	144.222908	-0.038566	0.499446	0.375580
7		252.515960	140.514656	0.008362	0.420860	0.365924
8		299.628443	128.208012	-0.035360	0.499381	0.333875
9		299.584293	118.902386	-0.040363	0.499307	0.309642
10	forehead_center	299.567091	80.181427	-0.034982	0.499278	0.208806
11		301.575851	210.160995	-0.024245	0.502626	0.547294
12		301.483405	212.809822	-0.019935	0.502472	0.554192
13		301.398504	214.557976	-0.013196	0.502331	0.558745
14		301.351941	214.496910	-0.011333	0.502253	0.558586
15		301.403761	218.463478	-0.011507	0.502340	0.568915
16		301.373935	223.326027	-0.013204	0.502290	0.581578
17		301.294148	228.325424	-0.010428	0.502157	0.594597
18		300.827801	237.309174	0.002410	0.501380	0.617993
19		299.825799	189.723564	-0.055075	0.499710	0.494072
20		292.992550	188.925819	-0.038626	0.488321	0.491994
21		224.899954	112.314857	0.057027	0.374833	0.292487
22		270.799202	147.170837	-0.002481	0.451332	0.383257
23		264.006293	147.775875	-0.001765	0.440010	0.384833
24		257.548785	147.390198	0.001269	0.429248	0.383829
25		249.896765	143.037117	0.010709	0.416495	0.372492
26		276.656234	145.591152	-0.001917	0.461094	0.379144
27		260.329127	128.997803	-0.010331	0.433882	0.335932
28		268.151647	129.804611	-0.010417	0.446919	0.338033
29		253.404236	129.914280	-0.006291	0.422340	0.338318
30		249.243379	132.153889	-0.001012	0.415406	0.344151
31		243.722570	147.595356	0.017434	0.406204	0.384363
32		275.550431	247.858864	0.018697	0.459251	0.645466
33	right_eye_outer_corner	250.363505	138.558231	0.011772	0.417273	0.360829
34		223.532277	143.610512	0.069020	0.372554	0.373986
35		236.112589	142.619751	0.028003	0.393521	0.371406
36		266.340047	177.663746	-0.006616	0.443900	0.462666
37		292.373550	205.824760	-0.024901	0.487289	0.536002
38		293.425333	212.462059	-0.018060	0.489042	0.553287
39		283.550441	208.100327	-0.017550	0.472584	0.541928
40		277.679104	210.739563	-0.008286	0.462799	0.548801
41		286.423373	212.688080	-0.013276	0.477372	0.553875
42		280.923593	213.421165	-0.004926	0.468206	0.555784
43		270.603222	222.870804	0.013300	0.451005	0.580393
44		293.918020	186.098579	-0.060724	0.489863	0.484632
45		292.968446	179.094784	-0.065557	0.488281	0.466393
46		238.613409	126.517754	-0.000202	0.397689	0.329473
47		279.785818	159.290680	-0.012897	0.466310	0.414819
48		277.974254	182.523663	-0.031567	0.463290	0.475322
49		277.724326	178.394943	-0.028556	0.462874	0.464570
50		246.475554	176.552593	0.007710	0.410793	0.459772
51		293.332547	169.712837	-0.060255	0.488888	0.441961
52		253.957057	120.881229	-0.022707	0.423262	0.314795
53		244.644481	122.340099	-0.013150	0.407741	0.318594
54		230.951446	100.063419	0.030560	0.384919	0.260582
55		284.832072	128.839279	-0.031722	0.474720	0.335519
56		275.044531	132.528419	-0.006357	0.458408	0.345126
57		265.493828	215.933853	0.014561	0.442490	0.562328
58		233.424139	209.864685	0.117308	0.389040	0.546523
59		283.031988	186.564480	-0.026175	0.471720	0.485845
60		288.558877	188.804455	-0.027120	0.480931	0.491678
61	right_mouth_corner	270.728660	215.388084	0.013037	0.451214	0.560906
62		272.487688	215.267738	0.009677	0.454146	0.560593
63		240.833956	117.405922	-0.008306	0.401390	0.305745
64		277.763718	185.288647	-0.024349	0.462940	0.482523
65		267.230558	122.795849	-0.029138	0.445384	0.319781
66		265.812117	116.910393	-0.033063	0.443020	0.304454
67		258.745676	83.954573	-0.018607	0.431243	0.218632
68		235.962170	108.503139	0.007885	0.393270	0.282560
69		263.174468	99.040443	-0.027211	0.438624	0.257918
70		234.739155	122.938271	0.009225	0.391232	0.320152
71		229.431564	118.120434	0.031184	0.382386	0.307605
72		292.762989	209.471397	-0.022818	0.487938	0.545498
73		285.002089	210.626060	-0.015846	0.475003	0.548505
74		279.249430	212.163437	-0.007551	0.465416	0.552509
75		284.626222	187.765869	-0.023851	0.474377	0.488974
76		271.626520	215.344688	0.011166	0.452711	0.560793
77		274.998987	216.981491	0.004799	0.458332	0.565056
78		273.472524	215.207062	0.009228	0.455788	0.560435
79		286.338490	184.914997	-0.043509	0.477231	0.481549
80		282.221228	214.316940	-0.002270	0.470369	0.558117
81		287.628686	214.015343	-0.007526	0.479381	0.557332
82		294.115412	214.228226	-0.011723	0.490192	0.557886
83		291.768515	236.765144	0.002894	0.486281	0.616576
84		292.140162	227.932800	-0.009847	0.486900	0.593575
85		292.677176	222.856659	-0.012169	0.487795	0.580356
86		293.366647	217.932472	-0.010202	0.488944	0.567532
87		294.136906	214.217514	-0.009871	0.490228	0.557858
88		282.212609	214.311836	-0.000889	0.470354	0.558104
89		280.711824	216.276031	-0.001776	0.467853	0.563219
90		279.016542	218.907646	-0.002781	0.465028	0.570072
91		277.664673	221.823097	-0.000353	0.462774	0.577664
92		272.441643	204.042892	-0.006089	0.454069	0.531362
93		225.042576	174.125553	0.126363	0.375071	0.453452
94		299.864727	190.915604	-0.038807	0.499775	0.497176
95		278.154910	214.667656	0.004977	0.463592	0.559030
96		276.605219	215.736877	0.004447	0.461009	0.561815
97		290.969145	191.641514	-0.026390	0.484949	0.499066
98		280.361438	189.296333	-0.014605	0.467269	0.492959
99		289.806694	190.265877	-0.027256	0.483011	0.495484
100		272.791421	163.391762	-0.007717	0.454652	0.425499
101		261.857343	168.336811	-0.003463	0.436429	0.438377
102		276.632094	181.300426	-0.021174	0.461053	0.472137
103		241.672075	90.296236	0.003893	0.402787	0.235146
104		246.643227	101.729668	-0.010936	0.411072	0.264921
105		251.477247	114.926617	-0.021753	0.419129	0.299288
106		276.022053	228.164177	0.008809	0.460037	0.594178
107		282.420391	119.836819	-0.038616	0.470701	0.312075
108		280.245566	98.560364	-0.036272	0.467076	0.256668
109		277.446127	80.893656	-0.031519	0.462410	0.210661
110		252.535826	145.857388	0.006168	0.420893	0.379837
111		236.432666	152.453934	0.025109	0.394054	0.397015
112		280.481815	144.081608	-0.000764	0.467470	0.375213
113		242.656678	134.545303	0.009190	0.404428	0.350378
114		284.478199	154.762848	-0.018209	0.474130	0.403028
115		282.098168	180.486408	-0.043854	0.470164	0.470017
116		229.481936	157.881947	0.039453	0.382470	0.411151
117		240.703046	157.902328	0.015716	0.401172	0.411204
118		249.016392	160.988033	0.005558	0.415027	0.419240
119		261.900562	159.929260	-0.000179	0.436501	0.416482
120		271.463728	156.907425	-0.003306	0.452440	0.408613
121		278.585976	153.756821	-0.007569	0.464310	0.400408
122		293.180215	145.891525	-0.033542	0.488634	0.379926
123		231.320375	173.100403	0.039631	0.385534	0.450782
124		237.037075	133.658592	0.014129	0.395062	0.348069
125		296.218228	189.453037	-0.054384	0.493697	0.493367
126		280.245101	166.688049	-0.015895	0.467075	0.434083
127		221.796119	142.007915	0.109249	0.369660	0.369812
128		283.980507	150.383892	-0.010397	0.473301	0.391625
129		276.243871	181.340458	-0.008801	0.460406	0.472241
130		247.411680	138.912117	0.014105	0.412353	0.361750
131		281.976986	175.498501	-0.040177	0.469962	0.457027
132		228.188717	191.492065	0.124930	0.380315	0.498677
133	right_eye_inner_corner	280.592859	141.676117	0.001533	0.467655	0.368948
134		287.488282	171.907162	-0.052568	0.479147	0.447675
135		247.337544	229.095612	0.058661	0.412229	0.596603
136		247.786725	236.717079	0.081470	0.412978	0.616451
137		225.709766	174.039631	0.082535	0.376183	0.453228
138		239.560497	218.582520	0.070993	0.399267	0.569225
139		226.230705	129.629105	0.053145	0.377051	0.337576
140		273.889053	255.532402	0.027356	0.456482	0.665449
141		296.963221	190.627373	-0.037995	0.494939	0.496425
142		274.257588	171.845238	-0.010225	0.457096	0.447514
143		230.743486	143.479168	0.040145	0.384572	0.373644
144		258.334619	143.192402	0.001757	0.430558	0.372897
145	right_eye_lower_lid	263.901544	143.816780	-0.001132	0.439836	0.374523
146		273.594815	218.350227	0.006987	0.455991	0.568620
147		233.345354	187.520599	0.047049	0.388909	0.488335
148		286.279285	266.040230	0.032769	0.477132	0.692813
149		265.656817	255.085510	0.053644	0.442761	0.664285
150		257.237720	247.483429	0.065772	0.428730	0.644488
151		299.593806	98.739361	-0.038951	0.499323	0.257134
152	chin	301.096880	267.332130	0.029604	0.501828	0.696177
153		269.610232	143.324043	-0.001867	0.449350	0.373240
154		275.158238	142.361504	-0.000569	0.458597	0.370733
155		278.809458	142.015686	0.001440	0.464682	0.369833
156		232.535934	131.837643	0.025806	0.387560	0.343327
157		274.021500	136.842087	-0.003424	0.456703	0.356360
158		267.964339	135.001236	-0.005977	0.446607	0.351566
159	right_eye_upper_lid	262.090605	134.682106	-0.005437	0.436818	0.350735
160		256.612837	135.529278	-0.002253	0.427688	0.352941
161		253.446686	136.779488	0.002085	0.422411	0.356197
162		222.208840	125.477932	0.085487	0.370348	0.326765
163		254.807371	141.920334	0.005302	0.424679	0.369584
164		300.209033	197.822136	-0.025661	0.500348	0.515162
165		278.578752	200.067215	-0.013359	0.464298	0.521008
166		283.016038	185.567516	-0.031320	0.471693	0.483249
167		290.796643	198.119522	-0.024397	0.484661	0.515936
168		299.670357	135.753857	-0.032333	0.499451	0.353526
169		255.811787	239.379341	0.049261	0.426353	0.623384
170		264.430279	247.602722	0.039133	0.440717	0.644799
171		286.072648	260.865875	0.017079	0.476788	0.679338
172		240.332526	224.997093	0.100512	0.400554	0.585930
173		278.474307	139.648693	-0.000681	0.464124	0.363668
174		288.799363	157.474079	-0.034016	0.481332	0.410089
175		301.038051	262.228523	0.014538	0.501730	0.682887
176		275.024718	261.653778	0.040992	0.458375	0.681390
177		228.720009	189.862129	0.084609	0.381200	0.494433
178		287.659550	214.031021	-0.005887	0.479433	0.557372
179		286.264354	217.122231	-0.006649	0.477107	0.565422
180		285.010296	221.062569	-0.007864	0.475017	0.575684
181		284.072345	225.662910	-0.005652	0.473454	0.587664
182		282.862419	233.144463	0.004295	0.471437	0.607147
183		276.482141	214.293755	0.002462	0.460804	0.558057
184		274.807495	213.769844	0.002346	0.458012	0.556692
185		273.447007	213.080200	0.002141	0.455745	0.554896
186		267.796826	209.506050	0.003643	0.446328	0.545589
187		242.048550	191.875614	0.023881	0.403414	0.499676
188		288.926536	149.801399	-0.025064	0.481544	0.390108
189		285.238069	137.368778	-0.008165	0.475397	0.357731
190		281.167871	137.753654	-0.003544	0.468613	0.358733
191		278.144914	214.743942	0.004150	0.463575	0.559229
192		241.854072	208.884178	0.046082	0.403090	0.543969
193		290.754318	137.923256	-0.023621	0.484591	0.359175
194		279.073799	240.111580	0.012292	0.465123	0.625291
195		299.626583	160.463573	-0.054966	0.499378	0.417874
196		293.397099	154.015240	-0.043415	0.488995	0.401081
197		299.644858	152.535370	-0.046442	0.499408	0.397228
198		284.112382	168.853992	-0.031178	0.473521	0.439724
199		300.950754	254.599091	0.006421	0.501585	0.663018
200		300.874865	245.324501	0.004690	0.501458	0.638866
201		289.600539	244.509041	0.006881	0.482668	0.636742
202		263.800532	225.845192	0.021179	0.439668	0.588139
203		270.966500	187.124016	-0.004982	0.451611	0.487302
204		270.800203	233.920097	0.017411	0.451334	0.609167
205		256.003761	186.182487	0.000115	0.426673	0.484850
206		265.244347	194.505547	-0.001308	0.442074	0.506525
207		250.797683	197.664253	0.012453	0.417996	0.514751
208		287.182975	253.380135	0.009351	0.478638	0.659844
209		280.136794	172.522614	-0.021575	0.466895	0.449278
210		257.889998	231.379784	0.033859	0.429817	0.602552
211		266.673839	240.145706	0.028183	0.444456	0.625379
212		258.434916	216.689117	0.020369	0.430725	0.564295
213		235.631132	199.711693	0.054324	0.392719	0.520083
214		250.094694	217.420647	0.032311	0.416824	0.566200
215		232.771039	204.610680	0.083315	0.387952	0.532840
216		260.419661	203.856537	0.006393	0.434033	0.530876
217		284.652025	161.934963	-0.024303	0.474420	0.421706
218		284.221923	183.765518	-0.046124	0.473703	0.478556
219		280.041629	184.990517	-0.032502	0.466736	0.481746
220		287.137967	179.543953	-0.055589	0.478563	0.467562
221		279.641122	131.941223	-0.013143	0.466069	0.343597
222		268.037367	127.484859	-0.016276	0.446729	0.331992
223		257.941335	126.259815	-0.015450	0.429902	0.328802
224		249.918294	127.186432	-0.010211	0.416530	0.331215
225		244.792736	129.811901	-0.002208	0.407988	0.338052
226		242.390782	140.712467	0.019003	0.403985	0.366439
227		223.669535	158.693195	0.076464	0.372783	0.413264
228		247.325599	150.867004	0.012228	0.412209	0.392883
229		253.821033	153.254539	0.005306	0.423035	0.399100
230		262.763554	153.306988	0.000498	0.437939	0.399237
231		271.364093	151.616455	-0.001551	0.452273	0.394835
232		278.108633	149.445511	-0.003181	0.463514	0.389181
233		282.737285	147.431602	-0.004271	0.471229	0.383936
234	right_cheek_outer	223.140907	157.920582	0.121800	0.371902	0.411252
235		280.211020	186.606388	-0.026296	0.467018	0.485954
