bfm_landmark_name,bfm_vertex_id,bfm_x,bfm_y,bfm_z,mediapipe_index,mediapipe_name,x_px,y_px,z_norm,x_norm,y_norm,confidence,notes
center.chin.tip,15867,0.289763,-74.474,102.122,152,chin,301.0968804359436,267.3321304321289,0.02960379049181938,0.501828134059906,0.6961774230003357,high,
center.front.trichion,15851,-0.516243,83.9574,103.767,10,forehead_center,299.56709146499634,80.18142700195312,-0.034982357174158096,0.4992784857749939,0.20880579948425293,low,"MediaPipe has forehead center, not true hairline/trichion."
center.lips.lower.inner,15819,0.748489,-32.2204,106.915,14,,301.35194063186646,214.49691009521484,-0.01133257057517767,0.5022532343864441,0.5585857033729553,medium,
center.lips.lower.outer,15821,0.967198,-41.2285,111.263,17,,301.29414796829224,228.32542419433594,-0.010427869856357574,0.5021569132804871,0.5945974588394165,medium,
center.lips.upper.inner,15825,0.565818,-33.144,107.009,13,,301.398503780365,214.55797576904297,-0.013195842504501343,0.5023308396339417,0.5587447285652161,medium,
center.lips.upper.outer,15855,0.0354753,-27.7133,113.576,0,upper_lip_outer_center,301.56311988830566,207.5558853149414,-0.026339050382375717,0.5026051998138428,0.5405101180076599,medium,
center.nose.attachement_to_philtrum,15837,0.187376,-11.0558,116.487,2,nose_base_center,299.9816358089447,192.1625518798828,-0.029667221009731293,0.49996939301490784,0.5004233121871948,medium,
center.nose.tip,15841,0.113292,1.00645,131.098,1,nose_tip,299.73776936531067,186.3742904663086,-0.061725370585918427,0.49956294894218445,0.48534971475601196,high,
left.eye.bottom,338,33.3914,28.8361,92.4488,374,left_eye_lower_lid,336.01605892181396,143.25271224975586,-0.0014610635116696358,0.5600267648696899,0.3730539381504059,medium,
left.eye.corner_inner,2029,19.7237,32.9292,90.4435,362,left_eye_inner_corner,318.7437415122986,140.97338104248047,0.0013788100332021713,0.5312395691871643,0.3671181797981262,high,
left.eye.corner_outer,2039,43.6259,33.431,86.0227,263,left_eye_outer_corner,350.6134629249573,138.83740997314453,0.011423047631978989,0.5843557715415955,0.3615557551383972,high,
left.eye.pupil.center,2043,32.2829,37.5438,94.233,473,left_iris_center,336.61755323410034,138.06202697753906,0.000780718692112714,0.5610292553901672,0.3595365285873413,high,Requires refine_landmarks=True for iris landmarks.
left.eye.top,2032,32.6998,33.1354,93.8102,386,left_eye_upper_lid,338.17341327667236,134.07774353027344,-0.005772985517978668,0.5636223554611206,0.3491607904434204,medium,
left.eyebrow.bend.lower,236,47.909,48.6779,93.5588,282,left_eyebrow_lower_bend,345.60441970825195,120.10673904418945,-0.023060407489538193,0.5760073661804199,0.31277796626091003,low,
left.eyebrow.bend.upper,1763,44.612,56.3444,95.1578,295,left_eyebrow_upper_bend,331.76368474960327,121.8643684387207,-0.029421286657452583,0.5529394745826721,0.31735512614250183,low,
left.eyebrow.inner_lower,241,19.7511,47.48,104.098,285,left_eyebrow_inner_lower,313.8464570045471,127.93838882446289,-0.03192431107163429,0.5230774283409119,0.33317288756370544,low,
left.eyebrow.inner_upper,9,21.1843,54.406,107.048,336,left_eyebrow_inner_upper,316.177761554718,118.80371475219727,-0.038771647959947586,0.52696293592453,0.30938467383384705,low,
left.lips.corner,1723,29.1574,-34.3589,95.3833,291,left_mouth_corner,331.2631845474243,214.3802032470703,0.012679786421358585,0.5521053075790405,0.5582817792892456,high,
left.lips.philtrum_ridge,1935,6.83664,-25.5924,113.202,267,left_upper_lip_philtrum_ridge,310.6152892112732,205.2146987915039,-0.025035178288817406,0.5176921486854553,0.5344132781028748,low,
left.nasolabial_fold.bottom,2127,36.7005,-35.3529,92.6727,432,left_nasolabial_fold_bottom,343.5816764831543,215.6429672241211,0.019919557496905327,0.5726361274719238,0.5615702271461487,low,
left.nasolabial_fold.center,2115,31.6094,-19.7343,98.0314,429,left_nasolabial_fold_center,319.9079990386963,172.02239227294922,-0.021710803732275963,0.5331799983978271,0.4479749798774719,low,
left.nose.hole.center,182,8.68536,-9.53773,110.371,326,left_nostril_center,309.17640924453735,191.44256973266602,-0.02643798477947712,0.5152940154075623,0.49854835867881775,low,
left.nose.wing.outer,1966,17.9699,-3.74124,101.587,327,left_nose_wing_outer,319.9736952781677,188.77985000610352,-0.014709261246025562,0.5332894921302795,0.4916141927242279,low,
left.nose.wing.tip,255,15.0637,-8.87494,105.188,294,left_nose_wing_tip,322.39766120910645,184.73384857177734,-0.024430807679891586,0.5373294353485107,0.48107773065567017,low,
right.eye.bottom,14042,-32.8722,28.9683,92.5729,145,right_eye_lower_lid,263.90154361724854,143.81678009033203,-0.0011323908111080527,0.43983590602874756,0.374522864818573,medium,
right.eye.corner_inner,15733,-19.6818,32.7508,90.4719,133,right_eye_inner_corner,280.5928587913513,141.67611694335938,0.001533363712951541,0.4676547646522522,0.36894822120666504,high,
